1580,964
1582,963
1587,958
1593,952
1599,947
1608,941
1617,934
1627,925
1639,918
1651,910
1665,903
1678,894
1692,885
1706,878
1720,868
1736,859
1748,851
1760,843
1773,836
1787,827
1799,821
1813,814
1822,807
1833,802
1842,794
1853,789
1860,782
1868,777
1872,773
1878,770
1882,767
1886,765
1889,762
1890,761
1892,761
1893,759
1895,758
1897,756
1898,753
1899,751
1900,749
1901,745
1901,742
1902,741
1904,739
1904,735
1904,734
1905,732
1905,730
1905,727
1905,726
1905,725
1905,723
1905,722
1905,721
1903,719
1903,718
1902,717
1901,717
1901,716
1900,716
1889,724
1878,736
1863,751
1852,764
1839,776
1824,790
1811,802
1799,815
1788,826
1778,836
1769,845
1763,853
1753,861
1746,867
1741,873
1735,878
1730,884
1726,887
1721,892
1718,894
1715,897
1711,901
1709,903
1706,905
1702,907
1699,910
1697,911
1690,916
1687,916
1682,919
1678,921
1672,924
1669,925
1665,927
1660,928
1657,930
1652,931
1649,934
1646,936
1642,937
1640,939
1636,941
1631,944
1628,945
1626,947
1622,948
1619,949
1616,949
1613,950
1611,951
1608,953
1606,954
1604,955
1602,956
1600,957
1599,957
1598,957
1595,957
1595,958
1593,958
1592,958
1591,959
1588,960
1587,960
1585,960
1584,962
1583,962
1580,963
1579,964
1578,964
1577,964
1576,964
1574,965
1572,965
1571,966
1570,966
1569,966
1569,967
1568,967
1555,956
1536,941
1512,912
1482,880
1445,841
1410,799
1372,754
1340,715
1302,670
1272,629
1245,588
1217,553
1194,522
1178,498
1162,477
1153,461
1143,448
1138,438
1131,430
1128,421
1124,417
1121,411
1119,408
1117,403
1116,401
1115,398
1112,397
1111,394
1110,391
1110,390
1109,388
1108,387
1107,385
1107,383
1107,382
1107,381
1107,380
1107,379
1108,379
1109,379
1113,379
1117,379
1121,379
1127,379
1137,377
1152,377
1169,375
1187,375
1215,375
1243,376
1276,382
1315,388
1352,396
1390,411
1429,429
1570,520
1608,549
1643,575
1667,603
1678,606
1691,609
1708,611
1718,613
1728,615
1741,619
1753,623
1763,626
1773,629
1782,632
1789,635
1795,637
1802,639
1807,644
1811,646
1814,648
1817,650
1819,652
1821,653
1823,655
1825,656
1825,658
1827,659
1829,659
1831,662
1831,663
1833,664
1836,665
1837,665
1838,666
1840,667
1841,668
1844,669
1845,669
1847,670
1848,670
1849,670
1850,670
1853,670
1855,670
1857,670
1861,670
1863,670
1867,670
1870,670
1872,670
1875,670
1876,670
1880,670
1881,670
1882,670
1883,670
1884,670
1885,670
1872,676
1849,688
1818,700
1788,715
1752,732
1714,749
1680,768
1642,783
1606,800
1574,814
1543,826
1518,837
1490,844
1473,850
1457,855
1444,859
1433,865
1426,867
1417,870
1410,872
1400,876
1397,878
1395,879
1391,880
1389,881
1386,883
1385,885
1382,886
1380,886
1379,886
1379,887
1377,888
1376,889
1374,889
1374,890
1373,891
1372,891
1372,892
1367,899
1357,909
1347,915
1337,925
1326,933
1316,938
1305,946
1296,952
1285,960
1274,965
1265,970
1256,975
1247,980
1240,983
1234,988
1228,990
1224,992
1220,993
1215,994
1211,995
1207,997
1204,997
1200,998
1198,998
1195,998
1193,998
1192,998
1191,998
1189,998
1188,997
1187,996
1186,996
1186,994
1185,994
1185,993
1184,991
1184,988
1184,987
1184,985
1184,982
1184,980
1184,977
1184,974
1184,973
1183,969
1183,967
1183,966
1183,965
1183,964
1183,962
1181,961
1181,960
1181,959
1181,958
